Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Report_Type
B-27399-17,7,69XX E Hermes St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-24 10:30:00,,,,,,BLACK,FEMALE,17,Incident Report
B-22886-17,2,8XX Napoleon Av,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-19 12:00:00,,,,,,WHITE,MALE,60,Incident Report
B-16490-17,7,121XX N I-10 Service Rd 425,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-15 03:30:00,,,,,,BLACK,FEMALE,43,Incident Report
B-27013-17,3,44XX Perlita St,CLOSED,38D,SIMPLE ASSAULT (DOMESTIC),2017-02-23 21:00:00,14 38,SIMPLE ASSAULT,BLACK,MALE,36,BLACK,MALE,51,Incident Report
B-25392-17,2,24XX Valmont St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-22 15:55:00,,,,,,BLACK,FEMALE,24,Incident Report
B-21617-17,3,19XX Robert E Lee St,CLOSED,21M,MISSING ADULT,2017-02-17 14:20:00,,,WHITE,MALE,96,,,,Supplemental Report
B-15823-17,5,14XX Port,OPEN,21P,LOST PROPERTY,2017-02-14 15:00:00,,,,,,,,,Incident Report
B-23530-17,6,23XX Josephine St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 20:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,UNKNOWN,,,Incident Report
A-10024-17,3,26XX Prentiss St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-09 23:30:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,24,BLACK,MALE,20,Incident Report
A-12147-17,7,63XX Ransom St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-01-11 17:50:00,,,BLACK,FEMALE,10,BLACK,FEMALE,45,Incident Report
B-23530-17,6,23XX Josephine St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 20:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,UNKNOWN,,,Incident Report
A-08275-17,3,25XX Jonquil St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-08 09:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,24,BLACK,MALE,56,Incident Report
B-22580-17,3,32XX Gentilly Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 01:45:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,29,Incident Report
B-22580-17,3,32XX Gentilly Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 01:45:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,29,Incident Report
B-15493-17,2,2XX Broadway St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-14 09:15:00,14 62,SIMPLE BURGLARY,,,,WHITE,FEMALE,33,Incident Report
B-26788-17,8,1XX Royal St,CLOSED,966,DRUG LAW VIOLATION,2017-02-23 20:15:00,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,BLACK,MALE,28,,,,Incident Report
B-05584-17,1,Basin St & N Robertson St,CLOSED,103F,DISTURBANCE (FIGHT),2017-02-05 18:30:00,54 403,DISTURBING THE PEACE,BLACK,FEMALE,24,,,,Incident Report
B-22340-17,8,5XX Bourbon St,CLOSED,966,DRUG LAW VIOLATION,2017-02-19 20:30:00,14 95.E,ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS,BLACK,MALE,18,,,,Incident Report
B-08219-17,5,9XX Independence St,OPEN,67A,AUTO THEFT,2017-02-07 23:30:00,,,,,,WHITE,FEMALE,54,Incident Report
B-23647-17,7,85XX Dinkins St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-02-19 23:30:00,14 730.3,RUNAWAY JUVENILE,BLACK,FEMALE,17,,,,Incident Report
B-10697-17,7,39XX Downman Rd,OPEN,67A,AUTO THEFT,2017-02-10 00:15:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,,,,BLACK,MALE,27,Supplemental Report
B-05584-17,1,Basin St & N Robertson St,CLOSED,103F,DISTURBANCE (FIGHT),2017-02-05 18:30:00,54 403,DISTURBING THE PEACE,BLACK,FEMALE,25,,,,Incident Report
B-20415-17,8,8XX Convention Center Bd,OPEN,21P,LOST PROPERTY,2017-02-17 22:00:00,,,,,,,,,Supplemental Report
B-17804-17,7,45XX Papania Dr,OPEN,67,THEFT,2017-02-16 08:44:00,14 67,THEFT,BLACK,MALE,,BLACK,MALE,37,Incident Report
B-17804-17,7,45XX Papania Dr,OPEN,67,THEFT,2017-02-16 08:44:00,14 67,THEFT,BLACK,MALE,,BLACK,MALE,37,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,31,,,,Incident Report
B-17804-17,7,45XX Papania Dr,OPEN,67,THEFT,2017-02-16 08:44:00,14 67,THEFT,BLACK,MALE,,BLACK,MALE,20,Incident Report
B-17804-17,7,45XX Papania Dr,OPEN,67,THEFT,2017-02-16 08:44:00,14 67,THEFT,BLACK,MALE,,BLACK,MALE,20,Incident Report
B-20708-17,8,X Poydras St,OPEN,21P,LOST PROPERTY,2017-02-18 07:59:00,,,,,,,,,Supplemental Report
B-09691-17,1,2XX N Broad St,OPEN,67S,SHOPLIFTING,2017-02-09 10:01:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-09607-17,3,45XX Old Gentilly St,OPEN,67S,SHOPLIFTING,2017-02-09 08:18:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-26416-17,2,17XX Arabella St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-23 13:30:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),UNKNOWN,,,WHITE,FEMALE,65,Incident Report
B-20219-17,8,Bourbon St & Saint Peter St,OPEN,21P,LOST PROPERTY,2017-02-18 00:00:00,,,,,,,,,Supplemental Report
B-25451-17,7,71XX Crowder Bd,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-22 16:45:00,14 35,SIMPLE BATTERY,BLACK,MALE,25,BLACK,FEMALE,17,Incident Report
B-09314-17,6,23XX Saint Andrew St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-09 00:16:00,,,,,,BLACK,MALE,41,Incident Report
B-15996-17,2,32XX Napoleon Av,OPEN,67B,BICYCLE THEFT,2017-02-14 17:00:00,54 186,THEFT,,,,WHITE,MALE,31,Incident Report
B-26988-17,7,66XX Coveview Dr,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-23 23:30:00,,,,,,BLACK,FEMALE,35,Incident Report
A-07934-17,4,33XX Kabel Dr,OPEN,35,SIMPLE BATTERY,2017-01-07 23:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,31,BLACK,FEMALE,10,Incident Report
B-24314-17,3,E I-610 & Franklin Ave Exit,OPEN,37,AGGRAVATED ASSAULT,2017-02-21 15:45:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,UNKNOWN,MALE,35,Incident Report
B-24314-17,3,E I-610 & Franklin Ave Exit,OPEN,37,AGGRAVATED ASSAULT,2017-02-21 15:45:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,UNKNOWN,MALE,35,Incident Report
B-20301-17,8,7XX Tchoupitoulas St,OPEN,21P,LOST PROPERTY,2017-02-16 19:21:00,,,,,,,,,Supplemental Report
B-22878-17,3,49XX Chef Menteur Hw,CLOSED,966,DRUG LAW VIOLATION,2017-02-20 09:07:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,FEMALE,24,,,,Incident Report
B-26822-17,6,14XX Saint Charles Av,CLOSED,966,DRUG LAW VIOLATION,2017-02-23 20:55:00,14 95.6,FIREARM FREE ZONES,BLACK,MALE,18,,,,Incident Report
B-26179-17,2,53XX Saint Charles Av,OPEN,51B,BOMB THREAT,2017-02-23 09:08:00,14 54.3.1,BOMB SCARES (SCHOOL),,,,BLACK,FEMALE,22,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,40 968,PROHIBITED ACTS-- SCHEDULE III DRUGS,BLACK,MALE,35,,,,Incident Report
B-15493-17,2,2XX Broadway St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-14 09:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,FEMALE,33,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,21,,,,Incident Report
B-23639-17,3,41XX Prentiss St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 23:00:00,,,,,,BLACK,FEMALE,36,Incident Report
B-26310-17,2,Calhoun St & Tchoupitoulas St,CLOSED,18,TRAFFIC INCIDENT,2017-02-23 12:00:00,32 51,VEHICLE LICENSE REQUIRED,BLACK,MALE,36,,,,Incident Report
B-04841-17,1,5XX S Scott St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-04 23:00:00,,,,,,HISPANIC,MALE,27,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,31,,,,Incident Report
B-19131-17,8,6XX Poydras St,OPEN,21P,LOST PROPERTY,2017-02-17 10:46:00,,,,,,,,,Supplemental Report
B-26320-17,6,21XX Magazine St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-23 12:03:00,,,,,,UNKNOWN,FEMALE,77,Incident Report
